storm_id,storm_name,year,fulldate,time,lat_center,lon_center,max_sus_wind_speed,
2000227N23267,BERYL,2000,20000814,0000,22.7,-93.8,30,
2000227N23267,BERYL,2000,20000814,0300,22.8851,-94.1624,32,
2000227N23267,BERYL,2000,20000814,0600,23.1,-94.6,35,
2000227N23267,BERYL,2000,20000814,0900,23.2998,-94.9927,37,
2000227N23267,BERYL,2000,20000814,1200,23.5,-95.4,40,
2000227N23267,BERYL,2000,20000814,1500,23.7151,-95.8574,42,
2000227N23267,BERYL,2000,20000814,1800,23.9,-96.3,45,
2000227N23267,BERYL,2000,20000814,2100,23.9998,-96.6654,45,
2000227N23267,BERYL,2000,20000815,0000,24.1,-97,45,
2000227N23267,BERYL,2000,20000815,0300,24.2848,-97.3351,45,
2000227N23267,BERYL,2000,20000815,0600,24.5,-97.7,45,
2000227N23267,BERYL,2000,20000815,0900,24.7073,-98.1126,37,
2000227N23267,BERYL,2000,20000815,1200,24.9,-98.6,30,
2000227N23267,BERYL,2000,20000815,1500,25.0606,-99.1748,27,
2000227N23267,BERYL,2000,20000815,1800,25.2,-99.8,25,
2000231N14308,CHRIS,2000,20000817,1200,14.2,-51.9,25,
2000231N14308,CHRIS,2000,20000817,1500,14.4478,-52.3822,25,
2000231N14308,CHRIS,2000,20000817,1800,14.7,-52.8,25,
2000231N14308,CHRIS,2000,20000817,2100,14.9573,-53.1151,25,
2000231N14308,CHRIS,2000,20000818,0000,15.2,-53.4,25,
2000231N14308,CHRIS,2000,20000818,0300,15.3922,-53.6979,27,
2000231N14308,CHRIS,2000,20000818,0600,15.6,-54.1,30,
2000231N14308,CHRIS,2000,20000818,0900,15.8853,-54.7198,32,
2000231N14308,CHRIS,2000,20000818,1200,16.2,-55.4,35,
2000231N14308,CHRIS,2000,20000818,1500,16.5072,-55.9577,32,
2000231N14308,CHRIS,2000,20000818,1800,16.8,-56.5,30,
2000231N14308,CHRIS,2000,20000818,2100,17.0573,-57.0852,27,
2000231N14308,CHRIS,2000,20000819,0000,17.3,-57.7,25,
2000231N14308,CHRIS,2000,20000819,0300,17.5498,-58.3352,25,
2000231N14308,CHRIS,2000,20000819,0600,17.8,-59,25,
2000231N14308,CHRIS,2000,20000819,0900,18.0505,-59.6921,22,
2000231N14308,CHRIS,2000,20000819,1200,18.3,-60.4,20,
2000233N12316,DEBBY,2000,20000819,1800,12,-44.5,30,
2000233N12316,DEBBY,2000,20000819,2100,12.29,-44.8424,30,
2000233N12316,DEBBY,2000,20000820,0000,12.6,-45.3,30,
2000233N12316,DEBBY,2000,20000820,0300,12.9423,-45.9602,32,
